City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
289,Dosso,NE,75.61,13.049,3.1937,Galaxy Hotel
292,Cabinda,AO,77.34,-5.55,12.2,Hotel Mayombe
295,Upington,ZA,88.41,-28.4478,21.2561,Die Eiland Holiday Ressort
296,Santarem,BR,82.53,-2.4431,-54.7083,Prático Hotel
305,Semporna,MY,78.49,4.4818,118.6112,Sipadan Inn II
306,Hambantota,LK,75.81,6.1241,81.1185,Oasis Aurweda Resort Hambathota
308,Trairi,BR,80.04,-3.2778,-39.2689,No hotel found
309,Kloulklubed,PW,77.5,7.0419,134.2556,The Adventures Inn
312,Hualmay,PE,70.83,-11.0964,-77.6139,Hotel Mi Choacan
319,Dingle,PH,75.42,10.9995,122.6711,No hotel found
323,Hithadhoo,MV,80.76,-0.6,73.0833,Pebbles Inn
324,Tevaitoa,PF,79.68,-16.7833,-151.5,Chambre d'hote
325,Hirara,JP,72.68,24.8,125.2833,古謝そば屋
336,Solenzo,BF,80.33,12.1833,-4.0833,auberge catho solenzo
339,Kampong Cham,KH,73.76,11.9934,105.4635,Phnom Pros Hotel
344,Kousseri,CM,74.32,12.0769,15.0306,Hôtel le CONFORT FREDI
345,Sanctorum,MX,76.32,19.1,-98.25,Hotel Global
346,Ambilobe,MG,76.32,-13.2,49.05,Hôtel National
347,Alofi,NU,84.09,-19.0595,-169.9187,No hotel found
348,Rio Grande,BR,78.91,-32.035,-52.0986,Hotel Vila Moura Executivo
349,Manta,EC,76.78,-0.95,-80.7333,La Gaviota
354,Balikpapan,ID,74.8,-1.2675,116.8289,Hotel Grand Senyiur
360,Olinda,BR,78.53,-8.0089,-34.8553,Fidji Motel
362,Villa Carlos Paz,AR,72.68,-31.4241,-64.4978,Hoterl Victor
365,Laguna De Perlas,NI,75.29,12.3429,-83.6712,Hotelito Bella Vista;Western Union
374,Bourail,NC,83.64,-21.5667,165.4833,Hôtel Restaurant La Néra
377,Santiago Tuxtla,MX,81.09,18.4667,-95.3,Hotel Familiar Posada Nayola
378,Puerto Cabezas,NI,85.96,14.0351,-83.3888,Hotel Caribe
379,Bambous Virieux,MU,74.21,-20.3428,57.7575,No hotel found
380,Jambi,ID,72.36,-1.6,103.6167,No hotel found
381,Maues,BR,84.49,-3.3836,-57.7186,No hotel found
382,Honiara,SB,81.9,-9.4333,159.95,King Solomon Hotel
383,Mitu,CO,83.68,1.1983,-70.1733,No hotel found
385,Mulege,MX,72.79,26.8833,-111.9833,Hacienda Hotel
386,Saint-Pierre,RE,74.88,-21.3393,55.4781,Tropic Hotel
388,Omboue,GA,77.14,-1.5746,9.2618,Georges Faustin Aurat
391,Kalmunai,LK,77.04,7.4167,81.8167,Saji new food
393,Rocha,UY,77.34,-34.4833,-54.3333,Hotel Municipal
398,Namatanai,PG,81.64,-3.6667,152.4333,Namatanai Hotel
400,Cidreira,BR,71.08,-30.1811,-50.2056,Hotel Castelo
401,Fare,PF,79.65,-16.7,-151.0167,hôtel Maitai Lapita Village
403,Galesong,ID,75.22,-5.3166,119.3661,No hotel found
404,Puerto Baquerizo Moreno,EC,72.59,-0.9,-89.6,Dory's House
407,Tarrafal,CV,75.79,15.2833,-23.7667,King Fisher Resort
414,Puri,IN,70.32,19.8,85.85,Divine Beach Homestay
428,Inhambane,MZ,71.8,-23.865,35.3833,Hotel de Inhambane
431,Lima,PE,73.65,-12.0432,-77.0282,Hotel Peach Garden
433,Kiunga,PG,72.91,-6.1219,141.2906,No hotel found
437,Souillac,MU,73.78,-20.5167,57.5167,Hotel SkylineInn
440,Saint-Georges,GD,82.08,12.0564,-61.7485,Deyna's City Inn
442,Muisne,EC,77.41,0.6,-80.0333,Hostal Té de Menta
444,Tomatlan,MX,85.71,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
451,Acajutla,SV,82.76,13.5928,-89.8275,Hotel Lara
453,Beloha,MG,70.32,-25.1667,45.05,No hotel found
454,Bontang,ID,75.92,0.1333,117.5,Hotel Sederhana
460,Calama,CL,72.09,-22.4667,-68.9333,Apart Hotel Geotel Calama
462,Carnot,CF,72.81,4.9409,15.8665,No hotel found
466,Mbekenyera,TZ,72.73,-10.0,38.9833,No hotel found
469,Bouna,CI,82.72,9.2667,-3.0,Hôtel Éléphant  Bouna
472,Tual,ID,81.39,-5.6667,132.75,Suita
477,El Tigre,VE,80.96,8.8875,-64.2454,Hotel La Llovizna
485,Kaffrine,SN,85.89,14.1059,-15.5508,Hôtel de Kaffrine
487,Kang,BW,77.31,-23.6752,22.7876,Nkisi Guest House
489,Sechura,PE,75.85,-5.5569,-80.8222,Hospedaje Claritza
492,Banes,CU,81.79,20.9625,-75.7186,No hotel found
495,Tautira,PF,78.35,-17.7333,-149.15,No hotel found
498,Gamba,GA,76.14,-2.65,10.0,No hotel found
501,Tessalit,ML,71.89,20.1986,1.0114,No hotel found
504,Malinyi,TZ,72.88,-8.9333,36.1333,No hotel found
505,Itupiranga,BR,84.52,-5.1347,-49.3267,No hotel found
506,Lamu,KE,77.67,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
518,Sorong,ID,79.43,-0.8833,131.25,Hotel Membramo Marina
520,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
523,Luanda,AO,77.0,-8.8368,13.2343,Hotel Forum
525,Fougamou,GA,73.38,-1.2154,10.5838,Auberge
530,Praia,CV,75.16,14.9215,-23.5087,Casa Sodadi
531,Odienne,CI,82.42,9.51,-7.5692,Hotel Frontière
533,Karratha,AU,80.98,-20.7377,116.8463,Karratha International Hotel
541,Vao,NC,77.68,-22.6667,167.4833,Nataiwatch
542,Basco,PH,79.38,20.4487,121.9702,Tawsen Hotel
543,Buckeye,US,73.29,33.3703,-112.5838,No hotel found
545,Puerto Quijarro,BO,82.09,-17.7833,-57.7667,No hotel found
546,Oistins,BB,80.69,13.0667,-59.5333,The Abidah By Accra
549,Koulikoro,ML,78.24,14.0,-7.75,No hotel found
555,Nanakuli,US,85.03,21.3906,-158.1547,No hotel found
556,Mitsamiouli,KM,78.22,-11.3847,43.2844,Hotel le Paradis
558,Garissa,KE,77.2,-0.4536,39.6401,Hiddig Hotel
559,Faanui,PF,80.06,-16.4833,-151.75,Oa Oa Lodge
560,Ugoofaaru,MV,80.92,5.6667,73.0,No hotel found
