City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Vestmannaeyjar,IS,2022-11-30 21:09:05,63.4427,-20.2734,47.07,82,92,22.12
167,Cozumel,MX,2022-11-30 21:07:41,20.5083,-86.9458,87.87,73,40,5.99
168,Ahipara,NZ,2022-11-30 21:08:41,-35.1667,173.1667,61.29,70,99,15.77
169,Camargo,MX,2022-11-30 21:09:06,27.6667,-105.1667,76.87,13,5,10.69
170,Ketchikan,US,2022-11-30 21:05:10,55.3422,-131.6461,25.27,26,0,13.8
171,Fortuna,US,2022-11-30 21:09:04,40.5982,-124.1573,55.74,68,100,19.57
172,Cockburn Town,TC,2022-11-30 21:09:07,21.4612,-71.1419,80.37,70,0,19.57
173,Kavieng,PG,2022-11-30 21:04:16,-2.5744,150.7967,82.09,73,30,2.15
174,Kedrovyy,RU,2022-11-30 21:09:08,56.1667,91.8167,0.01,98,44,3.47
175,Arraial Do Cabo,BR,2022-11-30 21:05:20,-22.9661,-42.0278,73.26,94,100,14.97
176,Takoradi,GH,2022-11-30 21:09:09,4.8845,-1.7554,79.52,82,100,6.13
177,Stephenville,US,2022-11-30 21:09:10,32.2207,-98.2023,50.25,25,0,9.22
178,Novoagansk,RU,2022-11-30 21:09:10,61.9449,76.6625,-16.89,99,42,1.68
179,Ondjiva,AO,2022-11-30 21:09:11,-17.0667,15.7333,82.18,33,60,5.12
180,Gwadar,PK,2022-11-30 21:09:11,25.1216,62.3254,75.58,41,91,3.02
181,Te Anau,NZ,2022-11-30 21:09:12,-45.4167,167.7167,46.8,89,91,1.9
182,Tambura,SS,2022-11-30 21:06:02,5.6,27.4667,73.53,77,100,6.49
183,Havoysund,NO,2022-11-30 21:09:12,70.9963,24.6622,35.83,82,80,7.31
184,Kadoma,JP,2022-11-30 21:10:13,34.7333,135.5833,49.98,49,24,7.27
185,Flin Flon,CA,2022-11-30 21:10:13,54.7682,-101.865,-4.76,80,38,5.99
186,Bereda,ES,2022-11-30 21:10:14,43.2686,-7.5406,47.41,100,96,3.22
187,Vardo,NO,2022-11-30 21:10:14,70.3705,31.1107,30.18,86,40,9.22
188,Urengoy,RU,2022-11-30 21:10:15,65.9667,78.3667,-12.32,100,82,4.83
189,San Anselmo,US,2022-11-30 21:10:15,37.9747,-122.5616,59.85,63,100,8.01
190,Norman Wells,CA,2022-11-30 21:06:40,65.282,-126.8329,1.35,93,100,2.68
191,Lazaro Cardenas,MX,2022-11-30 21:10:16,17.9583,-102.2,82.69,64,4,6.55
192,Aliwal North,ZA,2022-11-30 21:10:17,-30.6937,26.7114,70.56,48,88,5.17
193,Mayo,US,2022-11-30 21:10:17,38.8876,-76.5119,58.39,95,100,6.91
194,Kidal,ML,2022-11-30 21:10:18,18.4411,1.4078,75.31,18,52,7.61
195,Bulgan,MN,2022-11-30 21:10:18,48.8125,103.5347,-11.47,87,2,3.36
196,Vallenar,CL,2022-11-30 21:10:19,-28.5708,-70.7581,74.68,49,0,9.98
197,Umtata,ZA,2022-11-30 21:10:20,-31.5889,28.7844,68.45,62,100,2.93
198,Bubaque,GW,2022-11-30 21:10:20,11.2833,-15.8333,81.84,66,24,11.99
199,Kongsberg,NO,2022-11-30 21:10:21,59.6652,9.6465,32.43,100,100,1.01
200,Teacapan,MX,2022-11-30 21:10:22,22.55,-105.75,79.07,52,12,8.77
201,Saldanha,ZA,2022-11-30 21:06:40,-33.0117,17.9442,63.01,91,10,10.09
202,Mangan,IN,2022-11-30 21:10:22,27.5167,88.5333,58.98,35,57,6.53
203,Palanga,LT,2022-11-30 21:10:23,55.9175,21.0686,33.82,93,40,4.61
204,Codrington,AU,2022-11-30 21:06:31,-38.2667,141.9667,57.45,88,83,3.8
205,Kirakira,SB,2022-11-30 21:07:34,-10.4544,161.9205,81.88,77,100,1.59
206,Sedhiou,SN,2022-11-30 21:10:24,12.7081,-15.5569,78.21,35,10,4.12
207,Ponta Do Sol,PT,2022-11-30 21:10:24,32.6667,-17.1,66.13,75,6,2.04
208,Dudinka,RU,2022-11-30 21:10:25,69.4058,86.1778,0.43,99,99,6.24
209,Lata,PT,2022-11-30 21:10:25,40.1629,-8.3327,51.08,94,100,4.61
210,Iqaluit,CA,2022-11-30 21:10:26,63.7506,-68.5145,-20.31,68,68,11.01
211,Bedford,GB,2022-11-30 21:10:26,52.1346,-0.4663,46.24,91,73,1.3
212,Saskylakh,RU,2022-11-30 21:10:27,71.9167,114.0833,-27.96,100,100,8.39
213,Krasnoarmeyskoye,RU,2022-11-30 21:10:27,52.7182,50.0322,14.0,96,25,3.69
214,Touho,NC,2022-11-30 21:10:28,-20.7833,165.2333,80.62,79,88,7.0
215,Tuatapere,NZ,2022-11-30 21:10:28,-46.1333,167.6833,52.77,73,86,6.82
216,Sao Geraldo Do Araguaia,BR,2022-11-30 21:10:29,-6.4006,-48.555,75.67,93,95,3.04
217,Harsud,IN,2022-11-30 21:10:29,22.1,76.7333,61.61,53,96,6.17
218,Cardston,CA,2022-11-30 21:10:30,49.2,-113.3019,10.13,83,100,3.44
219,Dakar,SN,2022-11-30 21:10:00,14.6937,-17.4441,77.88,70,23,18.52
220,Awbari,LY,2022-11-30 21:10:30,26.5921,12.7805,53.31,31,0,4.21
221,Nuristan,AF,2022-11-30 21:10:31,35.3,70.8333,21.07,40,41,9.64
222,Tura,IN,2022-11-30 21:06:45,25.5198,90.2201,61.14,88,2,3.49
223,Vila Franca Do Campo,PT,2022-11-30 21:06:39,37.7167,-25.4333,61.21,86,61,3.91
224,Pangnirtung,CA,2022-11-30 21:10:32,66.1451,-65.7125,-20.13,86,16,4.18
225,Narsaq,GL,2022-11-30 21:10:32,60.9167,-46.05,28.62,87,99,3.8
226,Sorland,NO,2022-11-30 21:10:33,67.667,12.6934,40.86,77,100,13.38
227,Henties Bay,NA,2022-11-30 21:08:06,-22.116,14.2845,60.87,88,5,6.44
228,Launceston,AU,2022-11-30 21:10:33,-41.45,147.1667,55.15,75,100,8.05
229,Brae,GB,2022-11-30 21:10:34,60.3964,-1.353,48.24,83,99,21.54
230,Coos Bay,US,2022-11-30 21:09:30,43.3665,-124.2179,48.99,99,100,12.8
231,Lebanon,US,2022-11-30 21:06:07,36.2081,-86.2911,48.25,48,0,8.05
232,Halifax,CA,2022-11-30 21:07:51,44.6453,-63.5724,45.21,80,100,15.01
233,Jumla,NP,2022-11-30 21:11:35,29.2747,82.1838,40.69,25,0,5.48
234,Novo Aripuana,BR,2022-11-30 21:11:36,-5.1206,-60.3797,79.12,85,100,0.43
235,Iranshahr,IR,2022-11-30 21:11:36,27.2025,60.6848,61.14,21,0,6.91
236,Hoi An,VN,2022-11-30 21:11:37,15.8794,108.335,78.76,86,20,0.83
237,Dumabato,PH,2022-11-30 21:11:37,16.3167,121.7,72.09,99,86,1.88
